strain,Gene,ratio_result_nq:06_12_12_12:0428-0027:0.022806:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_14_46:0986-0033:0.035816:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_21_63:0329-0187a:0.002197:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_18_94:0109-0187:0.0424:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_24_30:0443-0269:0.128823:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_06_64:0850-0284:0.11164:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_23_23:0850-0259:0.0409225:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_12_04_5-5:3492-0019:0.172:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_01_10_6-21:1315-0399:0.119:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_03_25_8-53:0958-0254:0.0926:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_06_04_9-84:1120-0002:2.07:uM::::5_20:heho_060929_012807:YPD pH7,essential,zygosity
YGR074W,SMD1,0.00754942,-0.0704629,0.0690919,-0.112739,0.14238,0.109842,0.117366,-0.201508,0.216574,0.220661,0.457744,yes,het
YGR075C,PRP38,0.0277554,0.105862,0.109299,-0.194041,-0.060796,0.187993,0.0621672,-0.0682913,0.00578755,-0.0748418,0.374774,yes,het
YGR076C,MRPL25,-0.332238,-0.291066,0.259925,-0.0012525,0.144292,-0.24149,-0.0904331,-0.451868,-0.0599646,0.0105685,-0.0385023,no,hom
YGR077C,PEX8,-0.186191,-0.0355595,0.00111192,-0.026061,-0.0343616,0.04592,-0.0873243,0.112811,-0.0170074,-0.028824,0.0341436,no,hom
YGR078C,PAC10,-0.558085,0.0199335,-0.22098,-0.234753,-0.105468,0.149221,-0.254258,-0.380675,-0.0833687,-0.107457,0.0408288,no,hom
YGR079W,YGR079W,0.0675702,0.130078,0.124418,0.0540436,0.0818522,0.0671738,-0.0590086,-0.206907,0.0306063,-0.0402296,-0.117691,no,hom
YGR080W,TWF1,-0.0911929,0.0295691,0.0346046,-0.0884326,-0.0733858,0.0914535,0.0684768,0.101309,-0.0263841,0.0564929,0.0219757,no,hom
YGR081C,SLX9,-0.479912,0.201483,-0.336152,-0.506892,0.0290545,-0.234548,-0.81113,-0.554231,-0.172972,-0.344853,-0.242115,no,hom
YGR082W,TOM20,-0.231841,0.0232939,-0.0100378,0.0390675,-0.00208204,0.0870474,-0.0794303,-0.243288,-0.144137,-0.0484809,-0.43274,yes,het
YGR083C,GCD2,-0.355263,-0.0548111,0.057282,-0.117731,-0.0691675,-0.00630488,-0.262611,-0.139189,-0.203068,-0.0813894,-0.378983,yes,het
YGR084C,MRP13,-0.115985,-0.0143742,0.110297,-0.0143752,-0.0431104,0.0678166,-3.41E-05,-0.0460256,-0.0401164,-0.0258111,-0.0273311,no,hom
YGR085C,RPL11B,-0.428746,0.0831509,-0.190363,-0.243352,-0.293248,-0.137079,-0.966882,-0.651861,-0.151925,-0.329174,-0.282609,no,hom
YGR086C,PIL1,-0.30442,-0.045843,-0.0988039,-0.0212595,0.0813819,0.0436289,0.0202584,0.391234,-0.0354738,-0.0726042,-0.0827727,no,hom
YGR087C,PDC6,-0.0168763,-0.0419806,0.0306317,0.0175237,0.134782,0.060055,0.0131776,0.105572,0.0692861,-0.0232831,-0.0271819,no,hom
YGR088W,CTT1,0.0868594,0.0452137,0.0449714,0.116491,0.0433217,0.00245883,0.00439297,-0.0855038,-0.0449124,-0.0897209,0.0244815,no,hom
YGR089W,NNF2,0.544816,-0.0213521,-0.0727992,0.126781,-0.0245988,0.0231051,0.141234,0.0985789,0.0716711,0.207582,0.141543,no,hom
YGR090W,UTP22,0.435511,0.231825,0.221965,-0.180626,0.10442,-0.0206035,-0.0445474,-0.233191,-0.0205388,0.0420808,0.0871576,yes,het
YGR091W,PRP31,0.297293,0.116291,-0.0353967,-0.0353967,-0.0875355,0.083628,0.125737,-0.166635,0.0490201,0.068713,0.159084,yes,het
YGR092W,DBF2,0.397413,-0.080924,2.2962,0.458455,-0.113289,0.229579,1.32366,1.0224,0.472082,-0.0225928,0.219268,no,hom
YGR093W,DRN1,-0.09367,0.18171,-0.152147,-0.0210433,0.127043,0.0655051,0.104851,-0.0779818,-0.11186,-0.000929707,0.278768,no,hom
YGR094W,VAS1,0.228338,-0.202245,-0.100444,-0.0165627,0.117244,-0.00882777,0.0332592,0.000390318,-0.112575,-0.145532,-0.192952,yes,het
YGR095C,RRP46,-0.817925,-0.361021,-0.451984,-0.221515,-0.164526,-0.400061,-1.24974,-0.427599,-0.339134,-0.472052,-1.58463,yes,het
YGR096W,TPC1,-0.102152,-0.0124643,0.0926669,-0.274933,-0.114364,0.0739793,-0.0347782,-0.0282972,0.0453035,-0.0598221,0.0588385,no,hom
YGR097W,ASK10,0.0792077,-0.0357511,0.183191,-0.202671,-0.301509,-0.0853761,1.05405,-0.00238115,0.026401,-0.0501839,-0.00295273,no,hom
YGR098C,ESP1,0.145295,0.314236,-0.00313325,-0.0477798,0.185398,-0.0141586,0.0379964,0.349051,0.183961,0.190399,-0.100307,yes,het
YGR099W,TEL2,-0.339896,-0.256471,0.0413227,-0.238508,-0.0188865,-0.123861,0.0515438,-0.125695,-0.149707,-0.188155,0.335195,yes,het
YGR100W,MDR1,-0.0845249,0.101587,0.109094,-0.178312,-0.116354,0.188263,-0.0634748,0.145665,-0.0962374,0.111512,0.0607634,no,hom
YGR101W,PCP1,-0.362131,0.22181,0.145918,0.0660194,-0.258006,0.195912,-0.486408,-0.401295,0.00175706,-0.240818,-0.00218768,no,hom
YGR102C,YGR102C,-0.26362,0.00725719,-0.0314309,0.205392,-0.122784,0.0622343,-0.147019,-0.481818,0.0881074,-0.0275842,-0.0413547,no,hom
YGR103W,NOP7,-0.0794682,0.340893,0.153999,-0.2852,-0.094224,0.352728,-0.316823,-0.265282,-0.0303268,0.361005,-0.553819,yes,het
YGR104C,SRB5,0.400641,-0.0468292,0.19448,0.609754,0.132229,0.0320218,-0.611005,0.168101,0.372561,-0.0454968,0.0430174,no,hom
YGR105W,VMA21,,,,,0.320561,0.18417,-0.388953,,,,,no,hom
YGR106C,VOA1,0.0603114,0.268023,-0.0114408,-0.0571949,-0.00992511,-0.0931403,1.9609,0.96606,0.181122,0.0744702,0.26795,no,hom
YGR107W,YGR107W,0.127425,-0.0162345,0.14522,-0.00236954,-0.0614896,-0.104931,0.0406572,0.269547,0.0537018,0.12173,0.0259518,no,hom
YGR108W,CLB1,0.0928792,0.197412,0.177794,-0.00623009,0.0969426,0.0487209,0.00523028,0.0488249,0.0550025,0.164244,-0.0685985,no,hom
YGR109C,CLB6,-0.0464261,0.00634863,0.103746,0.0142021,-0.0147572,-0.0385388,-0.0221317,0.085761,-0.0266438,-0.138184,0.0830281,no,hom
YGR110W,YGR110W,-0.431235,-0.0594858,-0.041762,-0.269545,-0.0827989,0.0504843,-0.107874,-0.325922,-0.147724,0.180633,0.247852,no,hom
YGR111W,YGR111W,0.117003,-0.012027,0.391912,-0.0180614,0.025942,0.0382337,-0.00483429,-0.125648,0.132506,-0.00171183,0.0727813,no,hom
YGR112W,SHY1,-0.0225658,0.0749327,0.120575,0.00506351,-0.0431388,0.0756445,0.0244872,-0.0127368,0.0180261,0.0494816,-0.053371,no,hom
YGR113W,DAM1,-0.138165,0.246047,0.360736,0.078833,-0.081486,0.206493,0.49215,-0.231927,0.0259406,0.0330669,-0.41581,yes,het
YGR114C,YGR114C,-0.0162438,-0.539905,-0.206465,0.0476071,-0.11117,-0.116894,-0.974929,-0.595707,-0.266603,-0.00464598,-0.67652,yes,het
YGR115C,YGR115C,1.02925,-0.115678,0.510438,-0.270699,-0.172822,0.254253,-0.414724,-0.613214,0.100053,0.0824442,-0.0407853,yes,het
YGR116W,SPT6,0.0175339,-0.231289,-0.0685717,0.137359,-0.202043,-0.172168,-0.691586,-0.580865,-0.171365,-0.290604,-0.577297,yes,het
YGR117C,YGR117C,-0.0294272,0.240634,-0.0859549,0.119389,0.130985,0.236284,-0.1815,0.384625,0.163725,-0.043199,0.0911448,no,hom
YGR118W,RPS23A,-0.214454,0.217136,0.053164,-0.295466,-0.167562,-0.113026,-0.956106,-0.614696,-0.184372,-0.00471131,0.00535967,no,hom
YGR119C,NUP57,-0.0591402,-0.116942,-0.179729,-0.207788,-0.113896,-0.0953222,-0.252271,0.0284253,-0.121236,-0.0446834,-0.217468,yes,het
YGR120C,COG2,0.00385656,0.187957,0.112561,-0.192133,-0.0258699,0.13341,0.0808926,-0.0623332,0.0151678,-0.0364061,0.355839,yes,het
YGR121C,MEP1,0.0128113,0.0652198,0.23615,-0.0870805,0.0803461,0.0993577,-0.0137504,0.104584,-0.0545703,0.0669599,0.146053,no,hom
YGR121W-A,YGR121W-A,-0.162721,-0.0681041,0.101771,0.100834,0.0643215,0.00363031,0.0833276,-0.0774908,0.16159,0.0184978,0.12315,no,hom
YGR122C-A,YGR122C-A,0.00801251,-0.0574097,-0.0426823,-0.170206,-0.00327626,-0.00257861,0.0385128,0.0342531,0.0929296,0.0245485,0.0193519,no,hom
YGR122W,YGR122W,1.42428,0.0439516,0.34735,0.259136,0.0341149,0.0156332,0.198944,1.97378,0.118658,0.14727,0.759448,no,hom
YGR123C,PPT1,0.183643,0.0797682,0.259202,-0.0729755,-0.0275673,-0.107583,0.184194,-0.0131417,0.0342053,0.0581159,-0.0176228,no,hom
YGR124W,ASN2,0.218894,0.165489,0.138079,0.0625213,0.101855,-0.00818476,0.0434269,0.103437,-0.0503297,0.0443756,0.317068,no,hom
YGR125W,YGR125W,0.212771,0.22355,0.231076,-0.0471017,0.018425,0.018938,-0.109486,0.161099,-0.0338179,0.225365,0.0818382,no,hom
YGR126W,YGR126W,0.0460673,0.207467,0.157755,-0.19297,-0.0275993,0.147525,-0.16935,0.203979,0.0608226,-0.00204041,0.0554958,no,hom
YGR127W,YGR127W,0.0107416,-0.0318752,0.0677974,-0.0523661,-0.00357214,0.0747178,-0.0243384,0.145463,-0.0554969,0.0210564,0.166422,no,hom
YGR128C,UTP8,-0.295756,-0.0643504,-0.12675,-0.104757,-0.112288,-0.0820452,0.0443762,0.166177,-0.105938,-0.0763345,0.203161,yes,het
YGR129W,SYF2,-0.0265638,-0.0402255,0.328853,-0.158619,-0.0537871,0.0805187,-0.0920824,0.0885994,0.0927601,0.0470141,0.278161,no,hom
YGR130C,YGR130C,0.0519173,0.163135,0.209477,-0.0412048,-0.0730801,0.00723395,-0.0601582,0.195148,0.0883253,0.171046,-0.0953109,no,hom
YGR131W,YGR131W,0.0580042,0.0848392,0.148512,-0.134204,-0.0305741,0.0537978,-0.0682648,0.0542327,0.0724112,0.0823115,-0.0986967,no,hom
YGR132C,PHB1,0.089429,0.152766,0.0697945,0.00661718,0.0672215,0.0923357,0.0416455,0.00984158,0.0912249,-0.0396797,-0.0211417,no,hom
YGR133W,PEX4,0.065035,-0.0395038,0.364697,0.0483251,0.0142837,-0.144001,0.529887,0.156039,0.147528,0.202065,0.245698,no,hom
YGR134W,CAF130,-0.142614,-0.115853,-0.24989,-0.119295,-0.15834,-0.104155,-0.184416,-0.418924,-0.0454524,-0.236737,-0.107137,no,hom
YGR135W,PRE9,-0.159932,0.280108,0.288297,-0.0595764,0.297826,0.0935856,-0.0998797,-0.0919574,0.0779559,0.159213,0.1289,no,hom
YGR136W,LSB1,-0.0138632,0.152561,0.0912856,-0.0552702,-0.0612369,0.0679466,0.12535,0.0479564,-0.045037,0.0129121,-0.00386647,no,hom
YGR137W,YGR137W,0.151976,-0.00526637,0.137806,-0.154983,-0.0257693,0.0672708,0.14045,0.0927899,-0.0182913,0.0659812,0.0644182,no,hom
YGR138C,TPO2,-0.092164,-0.0524618,-0.00834033,-0.141385,-0.104476,0.121565,-0.16206,0.00397165,-0.0648894,0.0373145,-0.0714279,no,hom
YGR139W,YGR139W,0.0439169,0.0705297,0.166726,-0.119528,-0.0919118,0.12133,-0.0578619,0.0490582,0.140837,0.0772869,0.0219373,no,hom
YGR140W,CBF2,0.23977,-0.132748,-0.0502035,-0.0855873,0.0442008,0.0521438,-0.000434133,-0.00997301,0.073035,-0.0141752,0.0629964,yes,het
YGR141W,VPS62,0.109056,0.0585684,0.147027,-0.0815288,0.110062,-0.0120032,-0.164357,-0.0485727,0.0233601,-0.105032,0.158181,no,hom
YGR142W,BTN2,-0.0357334,-0.0490826,0.232114,-0.0964853,-0.00284374,0.075276,-0.015247,0.264686,-0.126777,-0.0631625,0.224641,no,hom
YGR143W,SKN1,0.0350263,0.183538,0.134681,0.105839,0.0483049,0.129036,0.116266,-0.238622,0.0752839,0.147192,0.149273,no,hom
YGR144W,THI4,0.158711,0.144735,0.0834149,-0.0802445,0.0768394,0.0638675,0.092426,0.174257,-0.049427,-0.0888533,0.10438,no,hom
YGR145W,ENP2,-0.0767124,0.0166145,0.0408807,0.0322565,-0.0860074,0.113951,0.163616,-0.200156,-0.0581742,-0.0785414,0.0965672,yes,het
YGR146C,YGR146C,0.15223,0.152658,0.204549,-0.0379955,0.038276,0.0288602,0.113414,0.0726376,0.0574901,0.0184002,0.00714077,no,hom
YGR146C-A,YGR146C-A,0.0703021,0.00119575,0.153163,-0.109448,-0.0846974,-0.183163,0.760139,-0.0110034,0.08654,0.209566,-0.207186,no,hom
YGR147C,NAT2,-0.0321164,0.0532638,0.05512,0.176962,0.241815,0.0437237,-0.655149,0.108352,-0.0342026,0.184668,0.558272,yes,het
YGR148C,RPL24B,-0.178588,-0.0990812,-0.00915729,-0.0380729,0.353938,-0.0467989,-0.778364,-0.604394,-0.211728,0.106278,0.0615522,no,hom
YGR149W,YGR149W,-0.0118467,-0.00961621,0.118753,-0.0165584,-0.0721477,0.0855447,-0.0016702,-0.0406372,0.0598291,-0.0128237,-0.000943879,no,hom
YGR150C,DMR1,-0.154531,-0.0732277,0.187856,0.117358,0.000955747,-0.0438531,-0.144935,-0.53342,0.024896,-0.148637,-0.014979,no,hom
YGR151C,YGR151C,0.122444,0.00605219,0.105227,-0.0190335,0.0058146,-0.012531,0.302954,0.052605,-0.000638774,-0.00931146,0.168914,no,hom
YGR152C,RSR1,0.0791037,0.0481005,0.0946698,-0.157401,0.0371858,0.0630824,0.277216,0.0467394,0.110282,0.0810941,-0.13283,no,hom
YGR153W,YGR153W,-0.0328478,0.231236,0.480854,0.392937,-0.373921,0.0329671,0.0115525,0.101982,0.00156558,0.0889027,0.145456,no,hom
YGR154C,GTO1,0.0602237,0.033299,0.110903,-0.343072,-0.0282532,0.0680947,-0.0430911,-0.0762595,-0.0390578,0.0531472,0.10096,no,hom
YGR155W,CYS4,0.804771,-0.704025,-0.248845,0.00847915,0.511166,-0.206073,0.137936,0.168013,0.181088,0.0372592,0.599695,no,hom
YGR156W,PTI1,0.123057,0.231397,0.38092,0.431895,0.372781,-0.0997413,0.762847,0.127805,0.151383,0.0538474,0.858603,yes,het
YGR157W,CHO2,-0.121487,0.120859,-0.023552,-0.0979508,-0.0976958,0.0639351,-0.113378,-0.0223143,-0.0165859,-0.0456707,0.0333765,no,hom
YGR158C,MTR3,-0.348449,-0.254402,-0.231766,-0.117979,0.0371534,-0.337825,-0.575736,-0.334336,0.225293,-0.275039,-0.789254,yes,het
YGR159C,NSR1,-0.995724,0.1447,-0.374813,-0.786693,-0.149656,-0.37113,-1.0465,-0.655056,-0.232048,0.461868,-0.000374801,no,hom
YGR160W,YGR160W,-1.02191,0.0165699,-0.67986,-0.878751,-0.341319,-0.446959,-1.41371,-1.0429,-0.139956,-0.13424,-0.544073,no,hom
YGR161C,RTS3,0.028825,0.0550142,0.0936478,-0.116689,-0.0414303,0.0803722,-0.0201945,0.104156,-0.0276606,0.0336695,-0.0471767,no,hom
YGR161W-C,YGR161W-C,-0.050864,0.052905,0.184996,0.11464,0.0304508,-0.160009,-0.136544,-0.00145225,0.0864371,0.197808,-0.069515,no,hom
YGR162W,TIF4631,-0.572516,0.238433,-0.354232,-0.166427,-0.00222771,-0.102939,-0.786766,-0.324772,0.0697536,-0.140167,-0.527371,no,hom
YGR163W,GTR2,-0.105185,-0.0349475,0.296189,-0.0175336,0.418366,0.523706,1.17763,0.19178,0.314432,0.319523,0.365424,no,hom
YGR164W,YGR164W,0.290113,0.177696,0.487984,0.109477,0.0185376,0.266789,-0.277172,1.48083,0.100294,0.139247,0.0325481,no,hom
YGR165W,MRPS35,-0.40765,0.415682,0.0955446,-0.000717106,-0.185567,0.0446688,-0.406151,-0.476361,-0.201341,-0.101844,-0.18485,no,hom
YGR166W,KRE11,0.741332,0.143305,0.22912,0.0432668,0.135172,0.1306,0.0908722,0.366905,0.00481177,0.256312,-0.101897,no,hom
YGR167W,CLC1,0.679238,0.533433,0.0143975,0.859377,0.348121,1.17047,0.381093,2.09826,0.552793,0.76337,0.525197,no,hom
YGR168C,YGR168C,0.10203,-0.111732,0.252233,-0.0029981,0.0238271,-0.00255334,0.0139674,0.117179,0.0796752,-0.11669,-0.0501873,no,hom
YGR169C,PUS6,-0.0344541,0.0534409,0.159266,-0.0481694,0.0175864,0.0257558,-0.0966085,0.0119446,0.185943,0.0195789,0.024979,no,hom
YGR169C-A,YGR169C-A,-0.0351609,0.0853188,0.189182,0.131385,-0.0778828,-0.0848479,-0.0933,0.137926,0.165413,0.501436,0.0569389,no,hom
YGR170W,PSD2,0.0661337,0.127245,0.156361,-0.0238415,0.0328817,-0.0553385,-0.0522411,1.33986,-0.14044,0.157137,0.185771,no,hom
YGR171C,MSM1,-0.191992,0.0447897,0.113995,0.188191,0.216792,0.0193078,-0.225617,-0.435946,-0.033145,-0.158898,0.00139864,no,hom
YGR172C,YIP1,-0.0880889,-0.351891,-0.107495,0.0406496,-0.21564,-0.458526,1.0196,-0.0789856,0.230149,-0.141351,0.0944629,yes,het
YGR173W,RBG2,-0.00715172,0.149778,0.0431845,-0.0221008,0.0131537,0.12435,-0.0622511,0.0693788,-0.0329223,0.0530587,0.0434376,no,hom
YGR174C,CBP4,0.0124088,0.0384785,0.143019,-0.0316695,-0.0160343,0.0253914,0.00683083,0.00362044,-0.00833378,-0.0873915,-0.0378648,no,hom
YGR174W-A,YGR174W-A,-0.0973621,0.0639259,-0.0394218,-0.13177,-0.0973849,-0.0712064,0.112402,0.00582516,-0.0809151,0.0917711,-0.227545,no,hom
YGR175C,ERG1,0.0777816,0.185161,0.0309442,-0.231352,0.0450703,0.197581,-0.072729,0.0304711,0.0646427,0.305916,0.323579,yes,het
YGR176W,YGR176W,-0.0824257,0.103039,0.0639394,-0.0841655,-0.090498,0.0760002,0.0106334,-0.0294604,-0.00608071,0.00206706,0.018579,no,hom
YGR177C,ATF2,-0.0941222,0.0231511,0.0230355,-0.146937,-0.102498,0.168343,-0.0836377,0.0739606,0.0144571,0.003466,0.0404819,no,hom
YGR178C,PBP1,0.209589,0.170658,0.202061,-0.0637034,0.0913938,0.0362415,0.114873,0.766536,0.136745,0.12689,0.124224,no,hom
YGR179C,OKP1,0.0634918,0.043967,0.0806283,0.0320033,-0.0406648,0.0305425,0.0363514,0.0362328,0.0696533,0.0830169,0.127481,yes,het
YGR180C,RNR4,0.35287,0.602094,0.587784,0.534152,0.165044,-0.0996271,-0.364266,0.258105,0.227739,,-0.891575,no,hom
YGR180C,RNR4,,,,,,,,,,,,no,hom
YGR181W,TIM13,-0.00336599,0.0310258,0.166048,-0.0768285,-0.0558179,0.0154014,-0.010818,0.0521439,0.00954115,0.0376429,0.274573,no,hom
YGR182C,YGR182C,-0.0111478,-0.000210087,0.062058,-0.100316,-0.0105512,0.0413023,-0.021762,0.111949,-0.0496004,-0.0499318,0.0542478,no,hom
YGR183C,QCR9,0.183816,-0.0436161,0.101948,0.00408728,0.227909,-0.195848,0.543937,-0.186397,0.0434084,0.0854791,-0.018549,no,hom
YGR184C,UBR1,0.397323,0.180159,0.474395,0.113912,0.124081,0.0842061,0.257108,0.035284,0.0201833,-0.00791091,0.22164,no,hom
YGR185C,TYS1,-0.0548768,-0.0617198,-0.0368452,-0.0436383,0.086777,0.076105,0.076105,0.0362693,-0.0288536,-0.0147454,0.00392223,yes,het
YGR186W,TFG1,0.108391,0.307644,0.132399,-0.263885,-0.141147,0.375629,0.124365,0.067241,0.142781,0.324988,-0.13036,yes,het
YGR187C,HGH1,0.0879165,-0.0641814,-0.0216451,-0.029504,0.0833418,-0.0908386,-0.125118,-0.0154032,-0.0191725,0.214917,-0.121045,no,hom
YGR188C,BUB1,,,,,,,,,,,,no,hom
YGR189C,CRH1,0.0138945,-0.00189835,0.029336,-0.0140544,0.0674877,0.0088945,0.156697,0.235324,-0.0160225,0.0243104,-0.0171398,no,hom
YGR190C,YGR190C,0.0359545,-0.0757201,0.00450819,-0.062611,-0.00819817,-0.213383,0.555209,-0.0332441,0.066224,-0.0457188,0.0889686,yes,het
YGR191W,HIP1,-0.363658,0.0732515,0.129967,-0.0526652,0.126806,0.0922019,-0.169682,-0.321268,0.0628618,0.136162,0.107422,yes,het
YGR192C,TDH3,0.0290714,0.0616418,0.064993,-0.0512527,0.0877368,0.0333081,0.245269,-0.190532,0.135761,0.202999,-0.0931952,no,hom
YGR193C,PDX1,-0.0551629,-0.0260728,0.243237,0.00575835,0.176822,0.0147463,-0.071642,-0.0786287,-0.0414944,-0.00475118,0.123818,no,hom
YGR194C,XKS1,0.0643913,0.0648319,0.179873,-0.0343011,0.0153556,0.010203,-0.0262347,0.0240547,-0.0248016,-0.0404469,-0.0204308,no,hom
YGR195W,SKI6,-0.153013,0.131992,-0.0208157,-0.0323707,-0.0413521,-0.0851412,-0.107355,-0.182319,-0.0807238,-0.180493,-0.2065,yes,het
YGR196C,FYV8,0.457116,-0.00841191,0.0384037,-0.151744,-0.0586049,-0.0312828,0.431782,-0.00712471,-0.0318035,0.0495233,0.0328785,no,hom
YGR197C,SNG1,0.0657073,0.106778,0.233461,0.0534435,0.0428157,0.0759584,0.149176,0.135658,0.0303147,0.114819,0.128989,no,hom
YGR198W,YPP1,0.0282218,0.00312991,-0.0189374,-0.0217324,0.0119742,-0.0393684,0.0228505,0.367259,-0.0882323,-0.181544,0.369061,yes,het
YGR199W,PMT6,0.0933605,0.0348509,0.122704,-0.0726811,-0.00777062,0.0498127,-0.0302801,0.0636213,-0.0822758,0.054713,0.0030882,no,hom
YGR200C,ELP2,-0.445203,0.140193,-0.124992,-0.36194,-0.136511,-0.0991108,-0.344034,-0.162668,-0.289825,-0.118696,-0.020092,no,hom
YGR201C,YGR201C,0.0481059,-0.0342481,-0.00957456,-0.0667331,-0.107297,-0.0730538,0.000291956,0.145285,0.0390576,-0.0790292,0.0261842,no,hom
YGR202C,PCT1,0.873603,-0.0111747,0.228098,-0.0910017,0.0427152,0.0784887,0.25166,-0.149943,0.00156745,0.0269319,0.0150122,no,hom
YGR203W,YGR203W,0.0298317,-0.0241578,0.112456,-0.281357,-0.0173088,-0.0641356,-0.110493,0.0761735,0.0927861,0.0467545,-0.135196,no,hom
YGR204C-A,YGR204C-A,-0.0401329,0.0465835,0.0892365,0.119325,-0.0349397,-0.0915541,0.0471022,-0.0494994,0.201103,-0.0934059,-0.131351,no,hom
YGR204W,ADE3,-0.217979,-0.297176,0.397271,-0.114777,0.173678,-0.161762,-0.483061,0.137329,-0.195563,-0.274622,-0.000279749,no,hom
YGR205W,YGR205W,-0.0347182,0.129516,0.0948885,-0.0349347,0.0218492,0.0297228,-0.0756624,0.109791,-0.0388845,0.0624968,-0.159576,no,hom
YGR206W,MVB12,-0.0772541,-0.170129,-0.225049,-0.101764,0.0510264,-0.0617875,-0.0808085,0.428216,-0.0826326,0.0286671,0.0839854,no,hom
YGR207C,YGR207C,-0.0755537,0.175875,0.0878479,-0.189364,-0.139228,0.226056,-0.0152858,0.120268,-0.0558386,0.150611,-0.0100238,no,hom
YGR208W,SER2,0.14928,-0.00922144,0.123174,-0.0429084,0.445981,-0.0168291,-0.00141887,-0.0613148,-0.0331093,0.114488,0.0281756,no,hom
YGR209C,TRX2,0.117075,0.1019,0.143802,0.122343,0.117454,0.0381593,-0.0526487,-0.0727364,-0.0631461,0.0603677,0.202008,no,hom
YGR210C,YGR210C,0.0225363,0.112229,-0.172935,-0.0211485,-0.049503,0.133964,-0.0244517,-0.172897,0.243888,0.317472,-0.0410236,no,hom
YGR211W,ZPR1,-0.122685,-0.0144218,0.1514,0.0569212,0.00487044,0.0303831,-0.111428,-0.217649,-0.129077,0.133678,0.385961,yes,het
YGR212W,SLI1,0.0861902,-0.016652,0.170556,-0.0299354,-0.016551,0.0191565,-0.00393549,0.114549,0.0085549,0.0760198,-0.0481807,no,hom
YGR213C,RTA1,0.0895311,0.068705,0.0337243,-0.00831263,0.0172118,-0.0229089,0.0300477,0.0422214,0.00210103,0.065867,0.0742728,no,hom
YGR214W,RPS0A,-0.239748,0.0799966,-0.047976,-0.235448,-0.109511,-0.194081,-0.332814,-0.204701,-0.0914299,-0.079571,0.0394524,no,hom
YGR215W,RSM27,-0.318237,0.209893,0.110716,0.0471432,-0.0466418,0.154493,-0.45188,-0.402262,-0.0858666,-0.193092,-0.222145,no,hom
YGR216C,GPI1,-0.100235,0.129822,-0.0121508,-0.204601,-0.130051,0.0350945,0.0670907,-0.0335074,-0.0728432,0.0771959,0.256756,yes,het
YGR217W,CCH1,0.0990594,0.0660347,0.0184001,-0.0715434,0.0419815,-0.00490081,0.31425,-0.0595915,-0.0295757,0.0513718,0.026559,no,hom
YGR218W,CRM1,0.0384327,-0.0552615,0.0885653,-0.17036,-0.213342,-0.12441,0.609321,-0.202183,0.113984,0.100793,0.62273,yes,het
YGR219W,YGR219W,-0.230605,0.485487,-0.0566821,0.190848,-0.0974334,0.0958101,-0.285311,-0.653196,-0.267413,-0.0145005,-0.329039,no,hom
YGR220C,MRPL9,-0.144901,0.0104839,0.0406472,0.0668652,0.0817832,0.0518766,-0.0796279,-0.14934,-0.0605203,-0.0180158,-0.116525,no,hom
YGR221C,TOS2,0.0145041,-0.0861733,-0.0825624,0.0630653,-0.0998261,-0.051136,0.572074,0.0757872,0.0108746,0.110705,-0.0279827,no,hom
YGR222W,PET54,-0.0789327,0.196688,0.0786185,0.237736,-0.0434023,0.0392285,-0.324673,-0.40708,-0.121448,-0.0220774,-0.098146,no,hom
YGR223C,HSV2,0.110802,0.104078,-0.120268,-0.0551589,-0.0264778,-0.0396222,0.78376,-0.105267,0.075427,0.0623606,0.115407,no,hom
YGR224W,AZR1,0.11006,0.176367,-0.0901392,0.160394,-0.0295551,-0.0208044,-0.00317533,-0.0439438,0.133485,-0.144341,-0.0636183,no,hom
YGR225W,AMA1,,,,,,,,,,,,no,hom
YGR225W,AMA1,-0.0341013,-0.120807,-0.114832,-0.139575,-0.140505,-0.0187394,0.0546785,-0.00984453,0.112764,0.0394702,0.119754,no,hom
YGR226C,YGR226C,-0.0972951,-0.250834,-0.0982681,-0.0514999,0.026564,-0.056031,-0.119219,-0.1216,-0.000736467,0.267946,0.0479004,no,hom
YGR227W,DIE2,0.0723553,-0.209116,0.158209,-0.0380488,-0.154032,0.0458798,-0.388295,0.433249,-0.0165903,0.328997,-0.031075,no,hom
YGR228W,YGR228W,-0.122545,-0.113849,-0.2656,0.856535,0.346085,0.0268259,1.84947,0.316836,-0.339059,-0.0741145,-0.0813444,no,hom
YGR229C,SMI1,0.288012,-0.670403,0.966446,0.697448,0.841743,0.103063,1.50938,1.89717,-0.44112,0.0517465,-0.22742,no,hom
YGR230W,BNS1,0.107006,-0.0220515,-0.00441429,-0.0549618,-0.191559,-0.113106,0.189726,0.370162,0.13275,0.231785,0.028448,no,hom
