strain,Gene,ratio_result_nq:06_12_12_12:0428-0027:0.022806:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_14_46:0986-0033:0.035816:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_21_63:0329-0187a:0.002197:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_18_94:0109-0187:0.0424:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_24_30:0443-0269:0.128823:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_06_64:0850-0284:0.11164:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_23_23:0850-0259:0.0409225:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_12_04_5-5:3492-0019:0.172:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_01_10_6-21:1315-0399:0.119:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_03_25_8-53:0958-0254:0.0926:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_06_04_9-84:1120-0002:2.07:uM::::5_20:heho_060929_012807:YPD pH7,essential,zygosity
YAL067W-A,YAL067W-A,-0.00740577,-0.0849586,-0.0609829,-0.0322658,-0.0422678,-0.120269,0.0749538,0.0572784,0.000664769,0.0471137,-0.199077,no,hom
YAL068C,PAU8,0.0181922,-0.0691632,-0.0336081,0.131813,0.0483468,0.00842481,0.086077,-0.0467607,0.0969514,0.0398101,0.00142388,no,hom
YAR002C-A,ERP1,-0.198805,-0.0506358,-0.132157,-0.0834428,-0.0828687,0.0970108,0.0542833,-0.137342,0.189916,-0.0324984,-0.157079,no,hom
YAR002W,NUP60,0.169417,0.104534,-0.0745303,-0.22824,-0.317193,0.0567556,0.0526751,1.59112,-0.245271,-0.261107,-0.0806503,no,hom
YAR003W,SWD1,0.223204,0.364698,-0.0160288,0.0592199,-0.08392,0.0590739,0.313795,-0.282679,-0.0601469,0.119483,0.162393,no,hom
YAR007C,RFA1,-0.220471,0.356486,-0.165083,-0.110638,-0.0246941,0.171954,-0.0953098,0.0550387,0.233603,0.109103,-0.0316011,yes,het
YAR008W,SEN34,0.0527815,-0.0148937,0.0635712,-0.0710547,0.044218,-0.00496322,0.0294036,-0.0773857,-0.0559626,0.12581,0.129477,yes,het
YAR014C,BUD14,-0.251719,-0.295718,-0.353354,0.0879412,0.0295002,0.192454,0.947702,1.50163,0.557151,0.186654,-0.445895,no,hom
YAR015W,ADE1,-0.310849,-0.650539,-0.327546,0.681077,-0.435107,-0.470335,-0.215977,,0.163655,,0.567785,no,hom
YAR018C,KIN3,-0.200159,-0.252717,-0.411615,0.106719,-0.0461523,0.0198605,-0.228749,0.596496,-0.214477,0.453077,0.213618,no,hom
YAR019C,CDC15,0.0012888,-0.0717273,-0.0380492,-0.0308049,-0.0534968,-0.116924,0.212984,0.0958826,-0.0134984,-0.00242645,-0.0698327,yes,het
YAR020C,PAU7,0.0316534,0.0608161,0.0788822,-0.150019,-0.111718,-0.0906037,-0.0020973,-0.0114043,-0.0695246,0.0258053,0.144064,no,hom
YAR023C,YAR023C,-0.0374929,-0.223721,-0.268727,-0.303003,-0.0304692,-0.145506,0.370175,0.0364377,-0.132202,-0.0921867,0.15209,no,hom
YAR027W,UIP3,-0.177294,-0.00547026,-0.0648231,-0.192296,-0.188572,0.00765839,0.026606,0.0345049,0.132714,0.0631449,0.0756358,no,hom
YAR028W,YAR028W,-0.0924781,-0.086843,0.0533358,0.149784,-0.090387,-0.242839,-0.222828,-0.108325,0.0462592,-0.0925696,0.0125432,no,hom
YAR029W,YAR029W,-0.185062,-0.121803,-0.183,-0.0447372,-0.133427,0.06796,-0.177154,-0.0709463,-0.170121,-0.224966,0.116937,no,hom
YAR030C,YAR030C,-0.000797977,-0.00194983,-0.0676951,-0.0926417,-0.0141772,-0.0710804,0.00224148,0.0112187,-0.116468,-0.0315699,-0.305207,no,hom
