Genotype,Mean,n,WT Mean,WT n,% chg,p-value,Mean,n,WT Mean,WT n,% chg,p-value,Criterion
tos8,28.76,80,26.04,80,10.5,1.10E-01,32.98,55,22.05,85,49.6,4.20E-09,Low
tpo3,30.73,60,27.78,60,10.6,6.60E-02,26.95,65,22.11,65,21.9,1.30E-02,Low
trk1,28.55,20,28.35,20,0.7,9.80E-01,29.15,20,19.48,50,49.6,2.60E-04,Low
ubp8,39.03,60,26.7,60,46.2,6.70E-09,28.8,25,27.16,45,6.1,5.80E-01,High
ubr2,38.96,339,28.73,358,35.6,<1E-13,35.91,80,27.96,80,28.4,3.90E-05,High
ugx2,31.8,20,25.6,20,24.2,3.40E-02,29.92,25,26.36,45,13.5,1.60E-01,Low
ure2,30.55,40,27.33,40,11.8,2.10E-01,30.18,45,24.54,85,23,4.00E-04,Low
vps24,29.38,60,29,60,1.3,7.00E-01,30,65,25.88,65,15.9,1.10E-02,Low
vps60,32.28,60,29,60,11.3,1.10E-01,32.12,65,26.17,65,22.8,3.50E-04,Low
ybl053w,28.5,20,21.25,20,34.1,3.20E-03,36.8,20,27.05,20,36,2.70E-03,High
ybl083c,31.75,20,21.25,20,49.4,1.20E-03,36.87,30,26.2,50,40.7,9.60E-06,High
ybr013c,31.35,20,26.35,40,19,1.50E-01,38.04,25,27.58,45,37.9,2.40E-06,Low
ybr197c,31.8,40,25.98,60,22.4,4.90E-03,37.68,25,25.42,45,48.2,5.10E-07,High
ybr226c,27.5,20,24.13,40,14,2.50E-01,31.83,30,27.2,40,17,3.10E-02,Low
ybr238c,33.67,43,27.33,40,23.2,2.10E-02,30.75,150,25.77,180,19.4,2.40E-05,High
ybr266c,36.35,40,24.83,40,46.4,4.50E-07,37.74,90,26.77,100,41,4.30E-10,High
ycl006c,27.1,20,24.13,40,12.3,2.40E-01,30.68,40,25.51,110,20.3,4.40E-02,Low
ycr101c,29.95,20,25.68,40,16.7,5.70E-02,30.88,25,26.02,45,18.7,6.00E-02,Low
ydl062w,33.63,60,25.2,60,33.5,1.20E-04,35,25,26.73,45,30.9,8.70E-02,High
ydl063c,33.5,20,26.35,40,27.1,1.70E-02,34.16,25,25.64,45,33.2,7.80E-04,High
ydl172c,31.85,20,26.35,40,20.9,6.30E-02,30.12,25,27.44,45,9.8,3.40E-01,Low
ydr048c,29.65,40,25.48,60,16.4,1.40E-01,34.92,25,26.93,45,29.7,4.50E-03,Low
ydr115w,31.85,60,0  27.28 ,80,16.8,1.00E-03,28.54,65,26.67,85,7,1.20E-01,High
yeh1,31.1,20,27,40,15.2,6.30E-02,29.92,25,26.48,25,13,8.50E-02,Low
yel020c,31.15,20,25.2,20,23.6,2.70E-02,27.2,25,25.36,25,7.3,5.00E-01,Low
yer128w,30.15,20,25.2,20,19.6,4.80E-02,29.92,25,24.88,25,20.3,4.30E-02,High
ygl042c,26.8,40,24.9,40,7.6,2.30E-01,33,25,24.83,30,32.9,3.80E-03,Low
ygl079w,29.34,80,27.74,80,5.8,4.00E-01,32.28,25,24.83,30,30,1.30E-02,Low
ygl165c,28.02,60,27.28,80,2.7,4.50E-01,30.24,45,25.42,45,19,6.90E-03,High
ygr051c,30.5,20,25.68,40,18.8,5.60E-02,31.6,25,27.11,45,16.6,5.30E-03,Low
yil089w,34,20,29.7,20,14.5,1.10E-01,37,35,27.44,45,34.8,4.90E-05,Low
yjl022w,29,40,24.97,60,16.2,3.50E-02,40.12,25,26.91,45,49.1,2.10E-05,High
ykr073c,36.9,20,23.38,40,57.9,2.40E-04,39.16,25,25.11,45,55.9,2.90E-05,High
ymr018w,29.37,100,28.08,120,4.6,2.60E-01,33.3,30,27.2,30,22.4,5.90E-03,Low
yng1,29.8,20,19.8,20,50.5,6.80E-02,25.24,25,20.16,25,25.2,1.20E-01,Low
ynl034w,30.4,20,26.45,40,14.9,9.70E-02,32.52,25,28.56,25,13.9,1.90E-01,Low
ynl213c,33.25,20,25.6,20,29.9,6.80E-02,30.2,25,27.49,45,9.9,2.00E-01,Low
yol014w,28.85,40,25.15,40,14.7,6.20E-02,33.56,45,27.64,25,21.4,4.00E-03,Low
yor111w,33.42,60,31.6,80,5.7,4.50E-01,27.96,55,25.14,140,11.3,2.10E-01,Low
yor135c,29.53,40,24.83,40,18.9,2.10E-03,30.43,35,25.1,120,21.2,3.10E-02,High
ypr064w,28.05,20,24.62,60,13.9,1.50E-01,32.48,25,25.6,45,26.9,4.70E-04,Low
ypt52,36.25,20,19.8,20,83.1,2.00E-06,28.8,25,20.64,25,39.5,5.70E-03,High
ypt6,33.44,120,29.52,140,13.3,4.80E-02,26.95,85,23.74,105,13.5,7.10E-02,Low
yro2,30.78,80,27.37,100,12.4,1.40E-02,34.12,65,27.05,85,26.2,1.10E-05,High
yur1,30,40,25.91,80,15.8,1.20E-02,33.08,25,26.53,45,24.7,4.50E-02,High
yvh1,26.68,120,26.05,140,2.4,5.80E-01,39.43,30,20.08,65,96.4,8.30E-07,Low
